排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
2,如何看待 NASA 回应「嫦娥五号」发射成功：希望中国分享探月数据？,2617 万热度,https://www.zhihu.com/question/431730729,180,922,1154271,2020-11-24
3,如果你有 650 万存款和一套房，你会辞职养老吗？,1258 万热度,https://www.zhihu.com/question/426020154,"1,924",2638,1820166,2020-11-24
4,马保国回应参演电影称「你走着瞧，电影肯定会火」，表示只接正能量题材，对自己的演技很有信心，你怎么看？,872 万热度,https://www.zhihu.com/question/431625733,655,2098,2126725,2020-11-24
5,为什么年轻人不要养龟？,837 万热度,https://www.zhihu.com/question/388894703,285,1127,1536163,2020-11-24
6,如何看待湖北宜昌一老太冒雨交医保被拒收现金，工作人员称「不收现金，要么告诉亲戚，要么你自己手机支付」？,795 万热度,https://www.zhihu.com/question/431739890,826,1730,1048669,2020-11-24
7,如何看待山东德州因不孕遭婆家虐待致死女子被安排阴婚，表哥称「当地习俗，收了几千块钱丧葬费」？,753 万热度,https://www.zhihu.com/question/431745317,436,1070,774722,2020-11-24
8,娶了一位外国妻子是什么样的体验？,669 万热度,https://www.zhihu.com/question/420779312,151,2983,10663616,2020-11-24
9,如何看待小米集团王嵋称未来得吊丝者得天下？,653 万热度,https://www.zhihu.com/question/431674358,438,997,736981,2020-11-24
10,如何评价网红泽一锋冒充医学生进入医科大学解剖楼拍有大体老师出现的视频？,631 万热度,https://www.zhihu.com/question/431688009,192,609,627976,2020-11-24
11,如何看待网传清华美院学妹被学长强吻，是否已经构成性骚扰？,596 万热度,https://www.zhihu.com/question/431516938,"1,164",2433,3085644,2020-11-24
12,耗子的尾巴真的能榨汁吗，榨的汁是什么性态，能喝吗？,561 万热度,https://www.zhihu.com/question/430551164,273,1843,3496539,2020-11-24
13,君合这样的红圈所为什么要录制《令人心动的 offer》这个综艺？,520 万热度,https://www.zhihu.com/question/430311648,76,496,1447002,2020-11-24
14,大部分玄幻小说设定下，跨两个大境界就能灭一个宗门，那为什么还有小宗门的存在？,477 万热度,https://www.zhihu.com/question/423208651,551,859,1375959,2020-11-24
15,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？,475 万热度,https://www.zhihu.com/question/430994765,114,667,789687,2020-11-24
16,结过婚的女生对未婚女生有什么忠告？,401 万热度,https://www.zhihu.com/question/429392239,533,1912,707113,2020-11-24
17,iPhone 12 真实消费者体验如何？是否值得购买？,323 万热度,https://www.zhihu.com/question/427120473,633,2145,3441907,2020-11-24
18,耗子尾汁公司在海南成立，涉及互联网直播服务，如何看待大量网络热词被注册成公司名？,275 万热度,https://www.zhihu.com/question/431745193,41,241,82323,2020-11-24
19,如何看待美媒称美国总务管理局通知拜登准备启动过渡进程，美国大选结果是否已成定局？,271 万热度,https://www.zhihu.com/question/431724655,111,340,388728,2020-11-24
20,有哪些分享到朋友圈会让人觉得我有病的沙雕冷知识？,262 万热度,https://www.zhihu.com/question/431008343,107,1941,1013956,2020-11-24
21,如何看待江苏泰州一奔驰男撞外卖员后称「外卖员人命不值钱」惹众怒，遭外卖员围殴被打出血？,238 万热度,https://www.zhihu.com/question/431744548,167,351,141529,2020-11-24
22,如何看待「逮捕安倍」等相关话题登上日本热搜榜？,236 万热度,https://www.zhihu.com/question/431725833,36,184,220253,2020-11-24
23,肝癌早期有些什么症状？,227 万热度,https://www.zhihu.com/question/427728683,49,478,421997,2020-11-24
24,汪涵何炅谢娜退出芒果关联公司意味着什么？是否会对芒果的收视率产生影响呢？,216 万热度,https://www.zhihu.com/question/431638793,50,247,531644,2020-11-24
25,如果我可以把缝衣针甩出 1000km/s  且比较有准头 我能干什么？,211 万热度,https://www.zhihu.com/question/430873619,370,485,181745,2020-11-24
26,如何看待合肥一男子捅女友 20 余刀藏尸冰柜，事前看《误杀》搜杀人责任问题？,195 万热度,https://www.zhihu.com/question/431621039,36,220,132025,2020-11-24
27,为什么互相喜欢却还要分手？,166 万热度,https://www.zhihu.com/question/303998486,365,706,179088,2020-11-24
28,如何看待王书金案发回重审后一审宣判：犯故意杀人罪、强奸罪判处死刑？,163 万热度,https://www.zhihu.com/question/431735042,41,193,102704,2020-11-24
29,学生党朝九晚五的努力学习真的值得吗？未来是否会因此而更好过呢？,158 万热度,https://www.zhihu.com/question/427639129,631,1111,191998,2020-11-24
