排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
2,如何看待 NASA 回应「嫦娥五号」发射成功：希望中国分享探月数据？,2494 万热度,https://www.zhihu.com/question/431730729,173,883,1081087,2020-11-24
3,如果你有 650 万存款和一套房，你会辞职养老吗？,1261 万热度,https://www.zhihu.com/question/426020154,"1,889",2594,1789068,2020-11-24
4,马保国回应参演电影称「你走着瞧，电影肯定会火」，表示只接正能量题材，对自己的演技很有信心，你怎么看？,1041 万热度,https://www.zhihu.com/question/431625733,644,2076,2103806,2020-11-24
5,为什么年轻人不要养龟？,828 万热度,https://www.zhihu.com/question/388894703,279,1102,1514298,2020-11-24
6,如何看待湖北宜昌一老太冒雨交医保被拒收现金，工作人员称「不收现金，要么告诉亲戚，要么你自己手机支付」？,780 万热度,https://www.zhihu.com/question/431739890,809,1689,1015389,2020-11-24
7,如何看待山东德州因不孕遭婆家虐待致死女子被安排阴婚，表哥称「当地习俗，收了几千块钱丧葬费」？,732 万热度,https://www.zhihu.com/question/431745317,424,1031,735565,2020-11-24
8,如何看待小米集团王嵋称未来得吊丝者得天下？,637 万热度,https://www.zhihu.com/question/431674358,431,972,715408,2020-11-24
9,如何评价网红泽一锋冒充医学生进入医科大学解剖楼拍有大体老师出现的视频？,603 万热度,https://www.zhihu.com/question/431688009,180,582,598317,2020-11-24
10,君合这样的红圈所为什么要录制《令人心动的 offer》这个综艺？,522 万热度,https://www.zhihu.com/question/430311648,76,491,1433888,2020-11-24
11,如何看待网传清华美院学妹被学长强吻，是否已经构成性骚扰？,510 万热度,https://www.zhihu.com/question/431516938,"1,161",2424,3070817,2020-11-24
12,娶了一位外国妻子是什么样的体验？,497 万热度,https://www.zhihu.com/question/420779312,150,2971,10640824,2020-11-24
13,大部分玄幻小说设定下，跨两个大境界就能灭一个宗门，那为什么还有小宗门的存在？,472 万热度,https://www.zhihu.com/question/423208651,550,851,1361362,2020-11-24
14,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？,471 万热度,https://www.zhihu.com/question/430994765,115,658,777942,2020-11-24
15,iPhone 12 真实消费者体验如何？是否值得购买？,322 万热度,https://www.zhihu.com/question/427120473,631,2140,3435617,2020-11-24
16,结过婚的女生对未婚女生有什么忠告？,302 万热度,https://www.zhihu.com/question/429392239,525,1877,693612,2020-11-24
17,有哪些分享到朋友圈会让人觉得我有病的沙雕冷知识？,283 万热度,https://www.zhihu.com/question/431008343,106,1931,1008406,2020-11-24
18,如何看待美媒称美国总务管理局通知拜登准备启动过渡进程，美国大选结果是否已成定局？,269 万热度,https://www.zhihu.com/question/431724655,111,339,379796,2020-11-24
19,耗子尾汁公司在海南成立，涉及互联网直播服务，如何看待大量网络热词被注册成公司名？,258 万热度,https://www.zhihu.com/question/431745193,37,219,72161,2020-11-24
