排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
2,马保国回应参演电影称「你走着瞧，电影肯定会火」，表示只接正能量题材，对自己的演技很有信心，你怎么看？,1257 万热度,https://www.zhihu.com/question/431625733,479,1568,1545735,2020-11-24
3,如何看待苹果掉出全球手机市场前三，小米成全球手机市场最大黑马？,1161 万热度,https://www.zhihu.com/question/431625798,789,3881,4200286,2020-11-24
4,如果你有 650 万存款和一套房，你会辞职养老吗？,906 万热度,https://www.zhihu.com/question/426020154,"1,206",1689,1203964,2020-11-24
5,为什么年轻人不要养龟？,576 万热度,https://www.zhihu.com/question/388894703,207,751,1087681,2020-11-24
6,有哪些分享到朋友圈会让人觉得我有病的沙雕冷知识？,573 万热度,https://www.zhihu.com/question/431008343,90,1619,849671,2020-11-24
7,如何看待投行女放弃百万年薪只为能在海上追鲨鱼，她的选择值得普通人模仿吗？,543 万热度,https://www.zhihu.com/question/431208416,235,564,479479,2020-11-24
8,如何看待湖北宜昌一老太冒雨交医保被拒收现金，工作人员称「不收现金，要么告诉亲戚，要么你自己手机支付」？,507 万热度,https://www.zhihu.com/question/431739890,431,875,382574,2020-11-24
9,娶了一位外国妻子是什么样的体验？,495 万热度,https://www.zhihu.com/question/420779312,140,2768,10151169,2020-11-24
11,如何看待网传清华美院学妹被学长强吻，是否已经构成性骚扰？,486 万热度,https://www.zhihu.com/question/431516938,"1,065",2227,2775305,2020-11-24
12,君合这样的红圈所为什么要录制《令人心动的 offer》这个综艺？,483 万热度,https://www.zhihu.com/question/430311648,55,341,1137081,2020-11-24
13,如何看待小米集团王媚称未来得吊丝者得天下？,353 万热度,https://www.zhihu.com/question/431674358,218,499,338399,2020-11-24
14,大部分玄幻小说设定下，跨两个大境界就能灭一个宗门，那为什么还有小宗门的存在？,352 万热度,https://www.zhihu.com/question/423208651,473,727,1108772,2020-11-24
15,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？,349 万热度,https://www.zhihu.com/question/430994765,75,404,541550,2020-11-24
16,特朗普在 G20 峰会发言称，《巴黎协定》旨在「杀死美国经济」，不是为了拯救环境，对此你怎么看？,343 万热度,https://www.zhihu.com/question/431580652,229,999,1786458,2020-11-24
17,假如带着全自动的子弹无限的反器材狙击枪穿越到了古代，见到皇上就可以不跪了吗?,312 万热度,https://www.zhihu.com/question/430658470,176,296,690653,2020-11-24
18,结过婚的女生对未婚女生有什么忠告？,305 万热度,https://www.zhihu.com/question/429392239,444,1357,459437,2020-11-24
19,如何看待山东德州因不孕遭婆家虐待致死女子被安排阴婚，表哥称「当地习俗，收了几千块钱丧葬费」？,248 万热度,https://www.zhihu.com/question/431745317,151,384,133416,2020-11-24
20,iPhone 12 真实消费者体验如何？是否值得购买？,232 万热度,https://www.zhihu.com/question/427120473,597,2041,3332064,2020-11-24
21,如何看待美媒称美国总务管理局通知拜登准备启动过渡进程，美国大选结果是否已成定局？,227 万热度,https://www.zhihu.com/question/431724655,84,229,230739,2020-11-24
22,肝癌早期有些什么症状？,196 万热度,https://www.zhihu.com/question/427728683,40,347,309225,2020-11-24
23,如何评价网红泽一锋冒充医学生进入医科大学解剖楼拍有大体老师出现的视频？,190 万热度,https://www.zhihu.com/question/431688009,72,178,124692,2020-11-24
24,汪涵何炅谢娜退出芒果关联公司意味着什么？是否会对芒果的收视率产生影响呢？,168 万热度,https://www.zhihu.com/question/431638793,40,178,332275,2020-11-24
25,学生党朝九晚五的努力学习真的值得吗？未来是否会因此而更好过呢？,146 万热度,https://www.zhihu.com/question/427639129,499,818,130697,2020-11-24
26,有哪些在朋友圈会被秒赞的文案?,145 万热度,https://www.zhihu.com/question/408472647,"1,012",16243,10809632,2020-11-24
27,如何看待一 94 岁老人为办理社保卡激活，被抱起做人脸识别，涉事银行：已向老人道歉？,117 万热度,https://www.zhihu.com/question/431593457,334,1212,1589024,2020-11-24
28,如何看待广电总局规定对直播「打赏」用户实名制管理，未成年用户不能打赏？,115 万热度,https://www.zhihu.com/question/431650175,117,371,252635,2020-11-24
29,高数为什么不能好好说话？,113 万热度,https://www.zhihu.com/question/430600056,37,186,54565,2020-11-24
30,如何评价《全员恶玉》？,110 万热度,https://www.zhihu.com/question/425070289,71,122,164298,2020-11-24
31,那些辞去高薪工作追求人生梦想的人，以后真的不会后悔吗？,108 万热度,https://www.zhihu.com/question/431699549,127,201,37425,2020-11-24
32,耗子的尾巴真的能榨汁吗，榨的汁是什么性态，能喝吗？,102 万热度,https://www.zhihu.com/question/430551164,267,1738,3253818,2020-11-24
34,为什么知道《王者荣耀》特别多细节却还是那么菜?,88 万热度,https://www.zhihu.com/question/430941708,101,121,60184,2020-11-24
35,如何评价鼓手胡宇桐？,82 万热度,https://www.zhihu.com/question/406760276,88,213,332571,2020-11-24
36,你初学编程的时候是怎么提高自己的 Debug 能力的？,71 万热度,https://www.zhihu.com/question/430575159,89,259,55333,2020-11-24
37,雅思一定要报班学吗？,60 万热度,https://www.zhihu.com/question/68564014,60,95,55427,2020-11-24
38,什么方法减肥最健康呢？,59 万热度,https://www.zhihu.com/question/427535363,527,667,9722,2020-11-24
39,iPhone12 mini 实际体验如何？,58 万热度,https://www.zhihu.com/question/429620705,82,224,514164,2020-11-24
40,买猫时怎么样才能选到温顺的小猫咪？,57 万热度,https://www.zhihu.com/question/423578638,47,318,337302,2020-11-24
41,华为台式机正式上线，搭载 AMD 芯片，支持指纹识别和 NFC 互传，如何看待华为进入台式机市场？,57 万热度,https://www.zhihu.com/question/431576550,133,514,769067,2020-11-24
42,25 岁女生是该成家还是先立业？,56 万热度,https://www.zhihu.com/question/428615674,391,626,110037,2020-11-24
43,买房和不买房，差别有多大？,55 万热度,https://www.zhihu.com/question/425084039,111,364,193546,2020-11-24
45,小白如何从零开始运营微信公众号？,55 万热度,https://www.zhihu.com/question/36397882,"1,427",63496,8842444,2020-11-24
46,科幻作品中的「太空军」为何偏好巨舰大炮主义？,54 万热度,https://www.zhihu.com/question/381343898,127,443,451879,2020-11-24
47,宝宝到什么年龄应该自己吃饭，而不是让父母喂？,51 万热度,https://www.zhihu.com/question/422439502,25,91,25046,2020-11-24
48,你在大学班级里同学关系如何？,51 万热度,https://www.zhihu.com/question/431089297,63,140,136973,2020-11-24
50,怎么样才能从 120 斤减到 90 斤？,50 万热度,https://www.zhihu.com/question/335222516,539,7237,4882770,2020-11-24
排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
2,马保国回应参演电影称「你走着瞧，电影肯定会火」，表示只接正能量题材，对自己的演技很有信心，你怎么看？,1257 万热度,https://www.zhihu.com/question/431625733,480,1570,1547678,2020-11-24
3,如何看待苹果掉出全球手机市场前三，小米成全球手机市场最大黑马？,1161 万热度,https://www.zhihu.com/question/431625798,789,3885,4201489,2020-11-24
4,如果你有 650 万存款和一套房，你会辞职养老吗？,906 万热度,https://www.zhihu.com/question/426020154,"1,206",1689,1205802,2020-11-24
5,为什么年轻人不要养龟？,576 万热度,https://www.zhihu.com/question/388894703,207,751,1088794,2020-11-24
6,有哪些分享到朋友圈会让人觉得我有病的沙雕冷知识？,573 万热度,https://www.zhihu.com/question/431008343,90,1620,850402,2020-11-24
7,如何看待投行女放弃百万年薪只为能在海上追鲨鱼，她的选择值得普通人模仿吗？,543 万热度,https://www.zhihu.com/question/431208416,236,565,481179,2020-11-24
8,如何看待湖北宜昌一老太冒雨交医保被拒收现金，工作人员称「不收现金，要么告诉亲戚，要么你自己手机支付」？,507 万热度,https://www.zhihu.com/question/431739890,432,877,384916,2020-11-24
9,娶了一位外国妻子是什么样的体验？,495 万热度,https://www.zhihu.com/question/420779312,140,2769,10153091,2020-11-24
11,如何看待网传清华美院学妹被学长强吻，是否已经构成性骚扰？,486 万热度,https://www.zhihu.com/question/431516938,"1,065",2228,2776515,2020-11-24
12,君合这样的红圈所为什么要录制《令人心动的 offer》这个综艺？,483 万热度,https://www.zhihu.com/question/430311648,55,341,1138093,2020-11-24
13,如何看待小米集团王媚称未来得吊丝者得天下？,353 万热度,https://www.zhihu.com/question/431674358,218,501,339530,2020-11-24
14,大部分玄幻小说设定下，跨两个大境界就能灭一个宗门，那为什么还有小宗门的存在？,352 万热度,https://www.zhihu.com/question/423208651,474,729,1109567,2020-11-24
15,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？,349 万热度,https://www.zhihu.com/question/430994765,75,404,542175,2020-11-24
16,特朗普在 G20 峰会发言称，《巴黎协定》旨在「杀死美国经济」，不是为了拯救环境，对此你怎么看？,343 万热度,https://www.zhihu.com/question/431580652,230,1000,1787066,2020-11-24
17,假如带着全自动的子弹无限的反器材狙击枪穿越到了古代，见到皇上就可以不跪了吗?,312 万热度,https://www.zhihu.com/question/430658470,176,296,691142,2020-11-24
18,结过婚的女生对未婚女生有什么忠告？,305 万热度,https://www.zhihu.com/question/429392239,446,1360,460044,2020-11-24
19,如何看待山东德州因不孕遭婆家虐待致死女子被安排阴婚，表哥称「当地习俗，收了几千块钱丧葬费」？,248 万热度,https://www.zhihu.com/question/431745317,152,386,134206,2020-11-24
20,iPhone 12 真实消费者体验如何？是否值得购买？,232 万热度,https://www.zhihu.com/question/427120473,597,2041,3332278,2020-11-24
21,如何看待美媒称美国总务管理局通知拜登准备启动过渡进程，美国大选结果是否已成定局？,227 万热度,https://www.zhihu.com/question/431724655,84,230,231128,2020-11-24
22,肝癌早期有些什么症状？,196 万热度,https://www.zhihu.com/question/427728683,40,348,309464,2020-11-24
23,如何评价网红泽一锋冒充医学生进入医科大学解剖楼拍有大体老师出现的视频？,190 万热度,https://www.zhihu.com/question/431688009,72,179,125499,2020-11-24
24,汪涵何炅谢娜退出芒果关联公司意味着什么？是否会对芒果的收视率产生影响呢？,168 万热度,https://www.zhihu.com/question/431638793,40,178,332648,2020-11-24
25,学生党朝九晚五的努力学习真的值得吗？未来是否会因此而更好过呢？,146 万热度,https://www.zhihu.com/question/427639129,499,819,130943,2020-11-24
26,有哪些在朋友圈会被秒赞的文案?,145 万热度,https://www.zhihu.com/question/408472647,"1,013",16244,10809807,2020-11-24
27,如何看待一 94 岁老人为办理社保卡激活，被抱起做人脸识别，涉事银行：已向老人道歉？,117 万热度,https://www.zhihu.com/question/431593457,334,1212,1589382,2020-11-24
28,如何看待广电总局规定对直播「打赏」用户实名制管理，未成年用户不能打赏？,115 万热度,https://www.zhihu.com/question/431650175,117,371,252797,2020-11-24
29,高数为什么不能好好说话？,113 万热度,https://www.zhihu.com/question/430600056,37,187,54736,2020-11-24
30,如何评价《全员恶玉》？,110 万热度,https://www.zhihu.com/question/425070289,71,122,164522,2020-11-24
31,那些辞去高薪工作追求人生梦想的人，以后真的不会后悔吗？,108 万热度,https://www.zhihu.com/question/431699549,127,201,37526,2020-11-24
32,耗子的尾巴真的能榨汁吗，榨的汁是什么性态，能喝吗？,102 万热度,https://www.zhihu.com/question/430551164,267,1739,3254679,2020-11-24
34,为什么知道《王者荣耀》特别多细节却还是那么菜?,88 万热度,https://www.zhihu.com/question/430941708,102,122,60372,2020-11-24
